"obj1","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","testObj1Foil","testObj1FCOrder","testObj1FCleftItem","testObj1FCrightItem","NewObject","OldImages","testNewLocStartVal","Imm_Delay"
"pin1_tr.png","Bckg59.jpg",300,82,3,1,1,1,1,300,260,88,40,300,"pin1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"pan1_tr.png","Bckg58.jpg",133,116,31,1,1,1,2,133,89,30,229,133,"pan1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"lei1_tr.png","Bckg119.jpg",49,5,32,1,1,1,3,49,174,32,226,49,"lei1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"watch1_tr.png","Bckg117.jpg",119,43,23,1,1,1,4,119,181,237,158,119,"watch1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"toaster1_tr.png","Bckg104.jpg",358,119,21,1,1,1,5,358,291,211,356,358,"toaster1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"jackolantern1_tr.png","Bckg21.jpg",51,93,29,1,1,1,6,51,161,66,118,51,"jackolantern1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"radish1_tr.png","Bckg112.jpg",221,14,15,1,1,1,7,221,203,64,59,221,"radish1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"towels1_tr.png","Bckg115.jpg",193,37,40,1,1,1,8,193,106,21,53,193,"towels1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"seashell1_tr.png","Bckg8.jpg",205,13,19,1,1,1,9,205,224,134,59,205,"seashell1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"suit1_tr.png","Bckg52.jpg",262,36,2,1,1,1,10,262,153,255,138,262,"suit1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"bathroomscale1_tr.png","Bckg17.jpg",226,17,36,1,1,1,11,226,235,285,318,226,"bathroomscale1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"toothpaste1_tr.png","Bckg38.jpg",259,1,7,1,1,1,12,259,232,85,230,259,"toothpaste1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"sunglasses1_tr.png","Bckg11.jpg",27,29,28,1,1,1,13,27,287,111,147,27,"sunglasses1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"abacus1_tr.png","Bckg135.jpg",299,41,12,1,1,1,14,299,113,108,23,299,"abacus1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"present1_tr.png","Bckg121.jpg",184,46,33,1,1,1,15,184,45,118,188,184,"present1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"bike1_tr.png","Bckg39.jpg",135,2,13,1,1,1,16,135,209,107,240,135,"bike1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"washingmachine1_tr.png","Bckg85.jpg",341,34,5,1,1,1,17,341,282,53,158,341,"washingmachine1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"turtle1_tr.png","Bckg44.jpg",223,61,14,1,1,1,18,223,185,158,305,223,"turtle1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"apple1_tr.png","Bckg81.jpg",114,62,30,1,1,1,19,114,347,32,264,114,"apple1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"bandaid1_tr.png","Bckg45.jpg",246,107,11,1,1,1,20,246,143,243,11,246,"bandaid1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"christmasstocking1_tr.png","Bckg136.jpg",165,50,35,1,1,1,21,165,322,246,121,165,"christmasstocking1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"pokerchips1_tr.png","Bckg127.jpg",11,88,37,1,1,1,22,11,51,229,63,11,"pokerchips1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"rollingpin1_tr.png","Bckg69.jpg",228,89,10,1,1,1,23,228,12,120,126,228,"rollingpin1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"bottleofwine1_tr.png","Bckg29.jpg",126,71,26,1,1,1,24,126,55,131,270,126,"bottleofwine1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"penguin1_tr.png","Bckg114.jpg",71,7,20,1,1,1,25,71,333,350,66,71,"penguin1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"soccerball1_tr.png","Bckg101.jpg",43,53,1,1,1,1,26,43,86,145,39,43,"soccerball1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"coffeemug1_tr.png","Bckg20.jpg",325,70,8,1,1,1,27,325,253,113,22,325,"coffeemug1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"motorcycle1_tr.png","Bckg100.jpg",260,4,25,1,1,1,28,260,342,17,98,260,"motorcycle1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"hat1_tr.png","Bckg133.jpg",235,68,6,1,1,1,29,235,251,330,13,235,"hat1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"nailpolish1_tr.png","Bckg84.jpg",301,32,16,1,1,1,30,301,148,320,226,301,"nailpolish1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"oven1_tr.png","Bckg55.jpg",111,9,34,1,1,1,31,111,305,27,70,111,"oven1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"starfish1_tr.png","Bckg106.jpg",77,54,22,1,1,1,32,77,197,61,78,77,"starfish1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"toad1_tr.png","Bckg65.jpg",25,27,24,1,1,1,33,25,278,24,220,25,"toad1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"cucumber1_tr.png","Bckg92.jpg",82,87,39,1,1,1,34,82,286,332,303,82,"cucumber1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"wisk1_tr.png","Bckg95.jpg",315,23,9,1,1,1,35,315,150,163,135,315,"wisk1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"basket1_tr.png","Bckg24.jpg",110,8,38,1,1,1,36,110,14,332,96,110,"basket1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"train1_tr.png","Bckg61.jpg",127,104,27,1,1,1,37,127,71,191,165,127,"train1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"scarf1_tr.png","Bckg51.jpg",276,59,4,1,1,1,38,276,231,56,236,276,"scarf1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"vegeplatter1_tr.png","Bckg70.jpg",246,30,18,1,1,1,39,246,122,321,75,246,"vegeplatter1_tr.png",NA,1,"Foil","Target",NA,1,NA,1
"tractor1_tr.png","Bckg63.jpg",316,86,17,1,1,1,40,316,132,20,87,316,"tractor1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_laptop1_tr.png",0,83,1
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_grandpiano1_tr.png",0,165,2
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_icecream1_tr.png",0,223,2
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_parfait1_tr.png",0,141,1
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_car1_tr.png",0,200,2
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_bathrobe1_tr.png",0,227,2
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_couch1_tr.png",0,45,1
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_drill1_tr.png",0,201,1
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_microphone1_tr.png",0,188,2
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_trampoline1_tr.png",0,87,1
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_hairbrush1_tr.png",0,288,1
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_glove1_tr.png",0,28,2
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_cereal1_tr.png",0,82,2
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_milk1_tr.png",0,174,1
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_crown1_tr.png",0,262,1
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New_brusselssprout1_tr.png",0,38,2
"spoon1_tr.png","Bckg67.jpg",161,10,56,2,1,1,41,161,301,195,183,161,"spoon1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"skippingrope1_tr.png","Bckg7.jpg",60,45,49,2,1,1,42,60,87,213,277,60,"skippingrope1_tr.png",NA,0,"Target","Foil",NA,1,NA,2
"waterfilter1_tr.png","Bckg123.jpg",115,56,71,2,1,1,43,115,280,232,286,115,"waterfilter1_tr.png",NA,0,"Target","Foil",NA,1,NA,1
"binder1_tr.png","Bckg82.jpg",91,21,59,2,1,1,44,91,236,320,312,91,"binder1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
"goggle1_tr.png","Bckg120.jpg",25,96,42,2,1,1,45,25,157,292,131,25,"goggle1_tr.png",NA,1,"Foil","Target",NA,1,NA,2
